CallNumber,UnitID,IncidentNumber,CallType,CallDate,WatchDate,CallFinalDisposition,AvailableDtTm,Address,City,Zipcode,Battalion,StationArea,Box,OriginalPriority,Priority,FinalPriority,ALSUnit,CallTypeGroup,NumAlarms,UnitType,UnitSequenceInCallDispatch,FirePreventionDistrict,SupervisorDistrict,Neighborhood,Location,RowID,Delay
20110330,M12,2003417,Medical Incident,2002-01-11,2002-01-11,Other,01/11/2002 04:51:12 PM,BALBOA ST/PARK PRESIDIO BL,SF,94118,B07,31,7145,3,3,3,true,null,1,MEDIC,2,7,1,Inner Richmond,"(37.7768682293368, -122.472039541478)",020110330-M12,1.8166667
20110344,T06,2003429,Odor (Strange / Unknown),2002-01-11,2002-01-11,Other,01/11/2002 05:17:15 PM,2300 Block of MARKET ST,SF,94114,B05,6,5233,3,3,3,false,null,1,TRUCK,2,5,8,Castro/Upper Market,"(37.7635007029742, -122.434209629009)",020110344-T06,2.0833333
20110350,M41,2003435,Medical Incident,2002-01-11,2002-01-11,Other,01/11/2002 05:46:30 PM,500 Block of BROADWAY,SF,94133,B01,2,1311,2,2,2,true,null,1,MEDIC,1,1,3,North Beach,"(37.7980228452184, -122.405863212632)",020110350-M41,4.4666667
20110375,B05,2003453,Alarms,2002-01-11,2002-01-11,Other,01/11/2002 06:48:01 PM,100 Block of JOHNSTONE DR,SF,94131,B05,20,5278,3,3,3,false,null,1,CHIEF,3,5,7,Inner Sunset,"(37.7585821585787, -122.453613744703)",020110375-B05,1.8
20110425,B01,2003497,Structure Fire,2002-01-11,2002-01-11,Other,01/11/2002 09:03:17 PM,600 Block of OFARRELL ST,SF,94109,B04,3,1544,3,3,3,false,null,1,CHIEF,4,4,6,Tenderloin,"(37.7854670505017, -122.415977627827)",020110425-B01,2.5666666
20110428,M28,2003500,Medical Incident,2002-01-11,2002-01-11,Other,01/11/2002 10:08:48 PM,1000 Block of BATTERY ST,SF,94111,B01,13,1153,3,3,3,true,null,1,MEDIC,2,1,3,Financial District/South Beach,"(37.8006802692983, -122.401542794883)",020110428-M28,3.8833334
20110467,T19,2003529,Medical Incident,2002-01-11,2002-01-11,Other,01/11/2002 10:56:59 PM,3000 Block of 23RD AVE,SF,94132,B08,19,8734,3,3,3,false,null,1,TRUCK,1,8,7,Sunset/Parkside,"(37.7318470441445, -122.479112654493)",020110467-T19,3.3
20120016,E43,2003550,Medical Incident,2002-01-12,2002-01-11,Other,01/12/2002 02:04:06 AM,0 Block of BLYTHDALE AVE,SF,94134,B09,43,6244,3,3,3,true,null,1,ENGINE,2,9,10,Visitacion Valley,"(37.7106587183839, -122.417699843965)",020120016-E43,3.1
20120020,E36,2003554,Structure Fire,2002-01-12,2002-01-11,Other,01/12/2002 01:56:32 AM,9TH ST/HOWARD ST,SF,94103,B02,36,2335,3,3,3,false,null,1,ENGINE,1,2,6,South of Market,"(37.7749917496069, -122.413161109659)",020120020-E36,3.3333333
20120044,M10,2003576,Medical Incident,2002-01-12,2002-01-11,Other,01/12/2002 04:17:22 AM,3800 Block of GEARY BLVD,SF,94118,B07,31,7113,3,3,3,true,null,1,MEDIC,2,7,1,Inner Richmond,"(37.7813145272908, -122.460540716843)",020120044-M10,3.9666667
20120045,E21,2003577,Medical Incident,2002-01-12,2002-01-11,Other,01/12/2002 04:23:31 AM,300 Block of BAKER ST,SF,94117,B05,21,4252,3,3,3,false,null,1,ENGINE,1,5,5,Lone Mountain/USF,"(37.7740926787047, -122.44108442597)",020120045-E21,3.25
20120052,M36,2003584,Medical Incident,2002-01-12,2002-01-11,Other,01/12/2002 06:27:31 AM,400 Block of VALENCIA ST,SF,94103,B02,6,5226,3,3,3,true,null,1,MEDIC,2,2,9,Mission,"(37.7661343875141, -122.421935077177)",020120052-M36,4.2833333
20120061,M10,2003593,Medical Incident,2002-01-12,2002-01-11,Other,null,0 Block of TERRA VISTA AVE,SF,94115,B05,21,4256,3,3,3,true,null,1,MEDIC,1,5,2,Lone Mountain/USF,"(37.7814248717141, -122.441695636568)",020120061-M10,2.3
20120111,E18,2003618,Odor (Strange / Unknown),2002-01-12,2002-01-12,Other,01/12/2002 11:07:36 AM,2000 Block of 34TH AVE,SF,94116,B08,18,7556,3,3,3,false,null,1,ENGINE,2,8,4,Sunset/Parkside,"(37.7488650921071, -122.492289492253)",020120111-E18,2.8
20120127,M38,2003630,Medical Incident,2002-01-12,2002-01-12,Other,01/12/2002 11:28:40 AM,LAGUNA ST/WASHINGTON ST,SF,94109,B04,38,3361,3,3,3,true,null,1,MEDIC,1,4,2,Pacific Heights,"(37.7922168970615, -122.429447193304)",020120127-M38,2.3833334
20120142,E07,2003639,Medical Incident,2002-01-12,2002-01-12,Other,01/12/2002 12:15:25 PM,600 Block of SOUTH VAN NESS AVE,SF,94110,B02,7,5246,3,3,3,false,null,1,ENGINE,1,2,9,Mission,"(37.7627737268131, -122.417186682545)",020120142-E07,2.45
20120147,M38,2003642,Medical Incident,2002-01-12,2002-01-12,Other,01/12/2002 01:23:04 PM,1300 Block of HYDE ST,SF,94109,B01,41,1564,1,1,2,true,null,1,MEDIC,1,1,3,Russian Hill,"(37.793235074749, -122.417915793747)",020120147-M38,6.25
20120149,M01,2003643,Medical Incident,2002-01-12,2002-01-12,Other,01/12/2002 01:05:52 PM,16TH ST/MISSION ST,SF,94103,B02,7,5236,1,1,2,true,null,1,MEDIC,1,2,9,Mission,"(37.7650513381945, -122.419668973861)",020120149-M01,3.6166666
20120153,M41,2003647,Medical Incident,2002-01-12,2002-01-12,Other,01/12/2002 02:20:25 PM,500 Block of 30TH AVE,SF,94121,B07,14,722,3,3,3,true,null,1,MEDIC,2,7,1,Outer Richmond,"(37.7788847355525, -122.48995472763)",020120153-M41,4.65
20120155,B08,2003649,Odor (Strange / Unknown),2002-01-12,2002-01-12,Other,01/12/2002 01:03:10 PM,1500 Block of 5TH AVE,SF,94122,B08,12,7328,3,3,3,false,null,1,CHIEF,3,8,7,Inner Sunset,"(37.7598374406709, -122.46094294867)",020120155-B08,4.1833334
20120166,E01,2003656,Medical Incident,2002-01-12,2002-01-12,Other,01/12/2002 01:22:58 PM,4TH ST/MISSION ST,SF,94103,B03,1,2213,3,3,3,false,null,1,ENGINE,1,3,6,South of Market,"(37.7844787439707, -122.404266872501)",020120166-E01,1.95
20120210,E44,2003688,Medical Incident,2002-01-12,2002-01-12,Other,01/12/2002 04:25:35 PM,0 Block of AQUAVISTA WAY,SF,94131,B09,20,5362,3,3,3,true,null,1,ENGINE,1,8,7,Twin Peaks,"(37.752557468944, -122.449351606127)",020120210-E44,3.55
20120217,M03,2003695,Structure Fire,2002-01-12,2002-01-12,Other,01/12/2002 04:46:59 PM,400 Block of TURK ST,SF,94102,B02,3,1554,3,3,3,true,null,1,MEDIC,3,2,6,Tenderloin,"(37.7825569563078, -122.416349428183)",020120217-M03,1.5666667
20120254,M17,2003724,Medical Incident,2002-01-12,2002-01-12,Other,01/12/2002 07:15:23 PM,0 Block of REARDON RD,SF,94124,B10,17,6625,3,3,3,true,null,1,MEDIC,2,10,10,Bayview Hunters Point,"(37.7294407135003, -122.377026608239)",020120254-M17,2.7833333
20120268,M07,2003735,Medical Incident,2002-01-12,2002-01-12,Other,01/12/2002 07:26:52 PM,1800 Block of SILLIMAN ST,SF,94134,B09,43,6153,3,3,3,true,null,1,MEDIC,2,9,9,Excelsior,"(37.7264150130988, -122.423317090957)",020120268-M07,4.5333333
20120295,B05,2003756,Alarms,2002-01-12,2002-01-12,Other,01/12/2002 07:54:42 PM,500 Block of STEINER ST,SF,94117,B05,21,3632,3,3,3,false,null,1,CHIEF,2,5,5,Hayes Valley,"(37.7742331365027, -122.432492947831)",020120295-B05,2.0833333
20120309,M05,2003769,Medical Incident,2002-01-12,2002-01-12,Other,01/12/2002 09:14:35 PM,OAK ST/WEBSTER ST,SF,94102,B02,5,3523,3,3,3,true,null,1,MEDIC,2,2,5,Hayes Valley,"(37.774181421555, -122.429178343494)",020120309-M05,1.25
20120311,E07,2003770,Smoke Investigation (Outside),2002-01-12,2002-01-12,Other,01/12/2002 08:44:01 PM,900 Block of SHOTWELL ST,SF,94110,B06,7,544,3,3,3,false,null,1,ENGINE,1,6,9,Mission,"(37.7532406253685, -122.415177223195)",020120311-E07,2.1166666
20120322,D2,2003777,Structure Fire,2002-01-12,2002-01-12,Other,01/12/2002 09:14:13 PM,0 Block of JONES ST,SF,94102,B03,1,1455,3,3,3,false,null,1,CHIEF,6,2,6,Tenderloin,"(37.7815955871561, -122.412190669917)",020120322-D2,1.9333333
20120350,E03,2003800,Medical Incident,2002-01-12,2002-01-12,Other,01/12/2002 11:19:49 PM,400 Block of EDDY ST,SF,94102,B02,3,1545,3,3,3,false,null,1,ENGINE,2,2,6,Tenderloin,"(37.7835654755497, -122.415051136249)",020120350-E03,3.1666667
20130009,E37,2003814,Medical Incident,2002-01-13,2002-01-12,Other,01/13/2002 01:05:26 AM,1000 Block of DE HARO ST,SF,94107,B10,37,2561,3,3,3,true,null,1,ENGINE,1,10,10,Potrero Hill,"(37.7559025882179, -122.400816594989)",020130009-E37,4.766667
20130010,E18,2003815,Medical Incident,2002-01-13,2002-01-12,Other,01/13/2002 01:08:57 AM,2700 Block of 38TH AVE,SF,94116,B08,18,7616,3,3,3,false,null,1,ENGINE,2,8,4,Sunset/Parkside,"(37.7356360325796, -122.495526420481)",020130010-E18,3.45
20130013,M03,2003818,Medical Incident,2002-01-13,2002-01-12,Other,01/13/2002 01:51:15 AM,800 Block of LARKIN ST,SF,94109,B04,3,1642,2,2,2,true,null,1,MEDIC,1,4,6,Tenderloin,"(37.7858627664608, -122.418110537872)",020130013-M03,5.2
20130040,E35,2003843,Medical Incident,2002-01-13,2002-01-12,Other,01/13/2002 03:35:33 AM,500 Block of HARRISON ST,SF,94105,B03,35,2136,3,3,3,false,null,1,ENGINE,1,3,6,Financial District/South Beach,"(37.7855694880471, -122.393469162416)",020130040-E35,3.5333333
20130045,RS1,2003848,Medical Incident,2002-01-13,2002-01-12,Other,01/13/2002 03:56:48 AM,300 Block of CLEMENTINA ST,SF,94103,B03,1,2215,3,3,3,false,null,1,RESCUE SQUAD,2,3,6,South of Market,"(37.7820387146172, -122.40232147638)",020130045-RS1,4.6666665
20130086,T11,2003876,Medical Incident,2002-01-13,2002-01-13,Other,01/13/2002 08:35:01 AM,2900 Block of MISSION ST,SF,94110,B06,11,5613,3,3,3,true,null,1,TRUCK,2,6,9,Mission,"(37.7498446220826, -122.418142583283)",020130086-T11,1.55
20130095,M43,2003880,Medical Incident,2002-01-13,2002-01-13,Other,01/13/2002 10:01:39 AM,0 Block of NAPLES ST,SF,94112,B09,32,6143,3,3,3,true,null,1,MEDIC,2,9,11,Excelsior,"(37.7278485543492, -122.425837521286)",020130095-M43,1.4666667
20130106,RS2,2003887,Structure Fire,2002-01-13,2002-01-13,Other,01/13/2002 09:38:41 AM,22ND ST/CHURCH ST,SF,94114,B06,11,5467,3,3,3,false,null,1,RESCUE SQUAD,8,6,8,Noe Valley,"(37.7548967204015, -122.427735561494)",020130106-RS2,3.05
20130142,E08,2003916,Other,2002-01-13,2002-01-13,Other,01/13/2002 12:34:42 PM,800 Block of HARRISON ST,SF,94107,B03,8,2243,3,3,3,false,null,1,ENGINE,1,3,6,South of Market,"(37.7799507434806, -122.400778586916)",020130142-E08,4.9333334
20130149,B01,2003922,Alarms,2002-01-13,2002-01-13,Other,01/13/2002 12:39:23 PM,400 Block of LEAVENWORTH ST,SF,94109,B04,3,1544,3,3,3,false,null,1,CHIEF,2,2,6,Tenderloin,"(37.7851111081788, -122.414592038343)",020130149-B01,1.8
20130154,E03,2003926,Alarms,2002-01-13,2002-01-13,Other,01/13/2002 01:01:31 PM,400 Block of LEAVENWORTH ST,SF,94109,B04,3,1544,3,3,3,false,null,1,ENGINE,1,2,6,Tenderloin,"(37.7851111081788, -122.414592038343)",020130154-E03,3.0166667
20130204,T05,2003962,Alarms,2002-01-13,2002-01-13,Other,01/13/2002 02:42:42 PM,500 Block of OAK ST,SF,94102,B02,5,3523,3,3,3,false,null,1,TRUCK,2,2,5,Hayes Valley,"(37.7742307091945, -122.428351459261)",020130204-T05,1.9833333
20130208,M17,2003965,Medical Incident,2002-01-13,2002-01-13,Other,01/13/2002 03:22:02 PM,BOYLSTON ST/HALE ST,SF,94134,B10,42,6365,3,3,3,true,null,1,MEDIC,3,9,9,Portola,"(37.7314787762164, -122.410756537883)",020130208-M17,1.7
20130210,M28,2003967,Medical Incident,2002-01-13,2002-01-13,Other,01/13/2002 03:07:57 PM,700 Block of BROADWAY,SF,94133,B01,2,1353,3,3,3,true,null,1,MEDIC,2,1,3,Chinatown,"(37.7976146082072, -122.409164766852)",020130210-M28,2.5
20130223,T01,2003979,Alarms,2002-01-13,2002-01-13,Other,01/13/2002 03:39:49 PM,700 Block of MARKET ST,SF,94103,B03,1,2211,3,3,3,false,null,1,TRUCK,3,3,6,Financial District/South Beach,"(37.7871160984672, -122.403919148357)",020130223-T01,2.3333333
20130252,M36,2004003,Medical Incident,2002-01-13,2002-01-13,Other,01/13/2002 04:50:08 PM,HAIGHT ST/OCTAVIA ST,SF,94102,B02,36,3313,3,3,3,true,null,1,MEDIC,2,2,5,Hayes Valley,"(37.772957392567, -122.423758380219)",020130252-M36,1.8
20130255,M07,2004006,Medical Incident,2002-01-13,2002-01-13,Other,01/13/2002 05:13:24 PM,24TH ST/ALABAMA ST,SF,94110,B06,7,5527,3,3,3,true,null,1,MEDIC,1,6,9,Mission,"(37.7526848900219, -122.410962662832)",020130255-M07,1.8
20130258,RC4,2004009,Medical Incident,2002-01-13,2002-01-13,Other,01/13/2002 05:16:07 PM,200 Block of CRESTA VISTA DR,SF,94127,B09,39,8256,E,E,3,true,null,1,RESCUE CAPTAIN,4,9,7,West of Twin Peaks,"(37.735631914703, -122.454282422725)",020130258-RC4,3.1
20130330,B08,2004070,Structure Fire,2002-01-13,2002-01-13,Other,01/13/2002 09:10:07 PM,6300 Block of CALIFORNIA ST,SF,94121,B07,14,7214,3,3,3,false,null,1,CHIEF,7,7,1,Outer Richmond,"(37.7838030202773, -122.485545885783)",020130330-B08,4.55
20130330,T14,2004070,Structure Fire,2002-01-13,2002-01-13,Other,01/13/2002 09:22:34 PM,6300 Block of CALIFORNIA ST,SF,94121,B07,14,7214,3,3,3,false,null,1,TRUCK,4,7,1,Outer Richmond,"(37.7838030202773, -122.485545885783)",020130330-T14,2.8666666
20130331,T11,2004071,Medical Incident,2002-01-13,2002-01-13,Other,01/13/2002 09:23:49 PM,900 Block of DIAMOND ST,SF,94114,B06,24,5521,3,3,3,true,null,1,TRUCK,1,6,8,Noe Valley,"(37.7499583474478, -122.436241579612)",020130331-T11,3.3333333
20130352,B05,2004089,Alarms,2002-01-13,2002-01-13,Other,01/13/2002 11:00:13 PM,1800 Block of GOLDEN GATE AVE,SF,94115,B05,21,4242,3,3,3,false,null,1,CHIEF,2,5,5,Western Addition,"(37.7783512875178, -122.44102844941)",020130352-B05,1.7333333
20130354,E14,2004091,Outside Fire,2002-01-13,2002-01-13,Other,01/13/2002 11:16:07 PM,28TH AV/BALBOA ST,SF,94121,B07,14,7225,3,3,3,false,null,1,ENGINE,1,7,1,Outer Richmond,"(37.7761552340808, -122.487669439804)",020130354-E14,1.2166667
20140010,E33,2004108,Medical Incident,2002-01-14,2002-01-13,Other,01/14/2002 01:32:59 AM,500 Block of GARFIELD ST,SF,94132,B09,33,8432,3,3,3,false,null,1,ENGINE,1,9,11,Oceanview/Merced/Ingleside,"(37.7197236320858, -122.467603096548)",020140010-E33,3.6333334
20140023,M38,2004119,Medical Incident,2002-01-14,2002-01-13,Other,01/14/2002 03:42:52 AM,1200 Block of FILLMORE ST,SF,94115,B05,5,3535,3,3,3,true,null,1,MEDIC,2,5,5,Western Addition,"(37.7809710233586, -122.432166356881)",020140023-M38,3.9166667
20140065,E02,2004151,Medical Incident,2002-01-14,2002-01-13,Other,01/14/2002 08:09:18 AM,BROADWAY/COLUMBUS AV,SF,94133,B01,2,1311,3,3,3,false,null,1,ENGINE,1,1,3,Chinatown,"(37.7978646128064, -122.406667932419)",020140065-E02,3.2666667
20140067,T19,2004152,Citizen Assist / Service Call,2002-01-14,2002-01-14,Other,01/14/2002 08:16:54 AM,2900 Block of 22ND AVE,SF,94132,B08,19,8732,3,3,3,false,null,1,TRUCK,1,8,7,Sunset/Parkside,"(37.7335645188552, -122.477843526592)",020140067-T19,5.6
20140082,T10,2004160,Structure Fire,2002-01-14,2002-01-14,Other,01/14/2002 08:47:46 AM,BEATRICE LN/ESPANOLA ST,SF,94124,B10,17,6641,3,3,3,false,null,1,TRUCK,2,10,10,Bayview Hunters Point,"(37.7309011761712, -122.380149049067)",020140082-T10,1.1666666
20140085,M36,2004161,Medical Incident,2002-01-14,2002-01-14,Other,01/14/2002 10:16:50 AM,600 Block of SOUTH VAN NESS AVE,SF,94110,B02,7,5246,3,3,3,true,null,1,MEDIC,1,2,9,Mission,"(37.7627737268131, -122.417186682545)",020140085-M36,2.85
20140089,E06,2004162,Medical Incident,2002-01-14,2002-01-14,Other,01/14/2002 09:13:47 AM,100 Block of JULIAN AVE,SF,94103,B02,6,5226,3,3,3,false,null,1,ENGINE,1,2,9,Mission,"(37.7657838960434, -122.421047942224)",020140089-E06,2.3166666
20140125,M41,2004181,Medical Incident,2002-01-14,2002-01-14,Other,01/14/2002 11:14:38 AM,400 Block of GREEN ST,SF,94133,B01,28,1266,3,3,3,true,null,1,MEDIC,2,1,3,North Beach,"(37.7997732125206, -122.406404327326)",020140125-M41,2.7333333
20140170,T01,2004214,Alarms,2002-01-14,2002-01-14,Other,01/14/2002 12:17:13 PM,600 Block of MISSION ST,SF,94105,B03,1,2178,3,3,3,false,null,1,TRUCK,1,3,6,Financial District/South Beach,"(37.7865888590763, -122.401692292616)",020140170-T01,2
20140177,E35,2004216,Medical Incident,2002-01-14,2002-01-14,Other,01/14/2002 12:26:19 PM,MONTGOMERY ST/SUTTER ST,SF,94104,B01,13,1164,3,3,3,false,null,1,ENGINE,3,1,3,Financial District/South Beach,"(37.7900390948551, -122.40218964437)",020140177-E35,2.8
20140177,RS1,2004216,Medical Incident,2002-01-14,2002-01-14,Other,01/14/2002 12:27:03 PM,MONTGOMERY ST/SUTTER ST,SF,94104,B01,13,1164,3,3,3,false,null,1,RESCUE SQUAD,2,1,3,Financial District/South Beach,"(37.7900390948551, -122.40218964437)",020140177-RS1,7.25
20140180,E33,2004218,Structure Fire,2002-01-14,2002-01-14,Other,01/14/2002 12:38:50 PM,MISSION ST/SICKLES AV,SF,94112,B09,33,6213,3,3,3,false,null,1,ENGINE,1,9,11,Outer Mission,"(37.7088063383308, -122.452664722246)",020140180-E33,1.3166667
20140209,T13,2004233,Alarms,2002-01-14,2002-01-14,Other,01/14/2002 01:52:42 PM,2300 Block of FILLMORE ST,SF,94115,B04,38,3545,3,3,3,true,null,1,TRUCK,3,4,2,Pacific Heights,"(37.791142743319, -122.434360166236)",020140209-T13,2.8833334
20140216,E22,2004238,Structure Fire,2002-01-14,2002-01-14,Other,01/14/2002 02:39:09 PM,1500 Block of 26TH AVE,SF,94122,B08,18,7475,3,3,3,true,null,1,ENGINE,1,8,4,Sunset/Parkside,"(37.7585658388793, -122.48436889714)",020140216-E22,2.3
20140253,E36,2004265,Structure Fire,2002-01-14,2002-01-14,Other,01/14/2002 04:37:18 PM,0 Block of LARKIN ST,SF,94102,B02,36,1646,3,3,3,false,null,1,ENGINE,1,2,6,Tenderloin,"(37.7775888205813, -122.416411092393)",020140253-E36,1.8166667
20140254,M01,2004266,Medical Incident,2002-01-14,2002-01-14,Other,01/14/2002 05:13:49 PM,100 Block of TURK ST,SF,94102,B03,1,1456,3,3,3,true,null,1,MEDIC,2,3,6,Tenderloin,"(37.7830549681708, -122.411577299279)",020140254-M01,3.5166667
20140276,M36,2004286,Medical Incident,2002-01-14,2002-01-14,Other,01/14/2002 05:34:32 PM,CALL BOX: BUCHANAN ST/GROVE ST,SF,94102,B02,5,3424,2,2,2,true,null,1,MEDIC,1,2,5,Hayes Valley,"(37.7772298314861, -122.428128039144)",020140276-M36,4.5333333
20140291,E43,2004297,Electrical Hazard,2002-01-14,2002-01-14,Other,01/14/2002 05:42:50 PM,900 Block of PRAGUE ST,SF,94112,B09,43,622,3,3,3,true,null,1,ENGINE,1,9,11,Excelsior,"(37.7100115797557, -122.435814381727)",020140291-E43,2.0666666
20140297,E07,2004303,Structure Fire,2002-01-14,2002-01-14,Other,01/14/2002 05:54:19 PM,22ND ST/MISSION ST,SF,94110,B06,7,5472,3,3,3,false,null,1,ENGINE,1,6,9,Mission,"(37.7554369366673, -122.41874757536)",020140297-E07,0.81666666
20140306,E34,2004308,Medical Incident,2002-01-14,2002-01-14,Other,01/14/2002 06:34:26 PM,800 Block of LA PLAYA,SF,94121,B07,34,7311,3,3,3,false,null,1,ENGINE,1,7,1,Outer Richmond,"(37.7723244294895, -122.510034921211)",020140306-E34,4.2833333
20140352,M07,2004340,Medical Incident,2002-01-14,2002-01-14,Other,01/14/2002 09:31:53 PM,24TH ST/POTRERO AV,SF,94110,B10,37,2554,3,3,3,true,null,1,MEDIC,1,10,9,Mission,"(37.7530040313925, -122.406336240587)",020140352-M07,1.5166667
20140364,M07,2004350,Medical Incident,2002-01-14,2002-01-14,Other,01/14/2002 10:37:55 PM,2700 Block of 16TH ST,SF,94110,B02,7,5237,3,3,3,true,null,1,MEDIC,1,2,9,Mission,"(37.7653263612606, -122.414201573327)",020140364-M07,2.1666667
20150001,M36,2004368,Medical Incident,2002-01-15,2002-01-14,Other,01/15/2002 12:30:37 AM,DUBOCE AV/NOE ST,SF,94114,B05,6,5131,3,3,3,true,null,1,MEDIC,1,5,8,Haight Ashbury,"(37.7691783700971, -122.433572207997)",020150001-M36,2.9833333
